NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,65,70,70,70,70,70,71.376,72.057,71.665,71.617,71.57,71.523,71.476,71.429,70.724,71.203,72.229,71.181,70.133,69.248,70,70.861,71.486,72.111,72.736,73.361,73.987,74.612,75,75,75,75,75,73.359,75,75,71.825,70,71.326,72.948,75,78.671,84.081,89.616,94.021,99.988,103.66,103.75,99.995,94.311,101.17,105.58,108.47,110.47,112.31,114.26,116.19,120,120,117.05,110.74,105.17,109.23,110,104.88,103.88,107.26,108.59,109.86,112.54,110.29,105.06,96.862,97.018,98.63,100,100,101.25,102.89,105.07,109.4,112.06,112.25,109.47,110,110,111.3,114.53,116.57,115.25,118.73,123.32,128.16,135.06,144.37,152.83,161.25,167.62,172.35,177.64,186.97,200.15,211.41,222.79,230,230,224.87,213.3,201.72,189.84,176.95,162.82,149.37,143.23,134.07,128.14,126.78,128.86,128.4,127.88,127.37,126.86,126.35,125.84,125.33,125,120.2,115.9,110.87,108.6,108.62,108.35,109.83,109.72,105.57,105.12,99.751,97.6,96.042,94.346,92.985,95,95,93.221,91.888,90,90,90,90,88.313,86.867,85.421,85,85,85,85,85.41,86.026,86.685,87.796,89.071,90,90,87.203,85,85,83.064,81.665,82.847,85.124,86.018,89.874,90,91.821,95.055,96.767,97.887,99.098,100.46,102.9,105.89,108.16,110.92,112.82,116.83,121.24,127.04,132.74,137.46,139.68,137.82,129.96,124.09,121.12,121.75,125.3,127.57,125.24,117.5,NaN
NaN,68.575,70,70,70,70,70,73.468,75.162,74.557,73.518,73.471,73.424,72.871,72.191,70.96,71.783,74.089,75,75,71.993,70,70.425,71.964,72.884,73.509,74.135,74.76,75,75,75,75,75,75,72.248,70.013,74.767,71.646,70,70.908,73.844,75.694,80.114,84.083,90.991,95.587,99.877,101.82,101.37,96.735,90.333,96.87,102.39,105.22,106.9,107.76,109.22,111.35,114.95,115.72,113.81,108.6,102.92,106.34,107.69,103.31,99.258,102.86,104.63,106.71,108.24,105.63,97.11,95,95.35,96.749,100,100,100,100,101.02,106.17,109.29,108.28,106.74,109.81,115,115.93,117.71,118.93,119.87,124.2,126.07,130.1,135.27,141.09,149.37,163.22,170.88,176.37,182.69,190.06,201.78,211.54,224.42,230,230,219.18,206.18,196.77,186.3,174.04,160.72,149.11,141.71,133.22,125,122.8,125,125.34,127.22,126.77,126.3,125.79,125.28,125,124.32,116.34,114.85,110.86,105.42,104.92,103.23,104.44,104.13,99.996,98.706,97.327,95.614,95,92.785,90.867,90,90.063,90,90,91.041,90.759,90,90,87.554,86.108,85,85,85,85,85.006,85.736,85.641,87.314,89.134,90.565,90.892,90,86.368,85,85,84.01,83.081,84.364,88.974,88.269,87.469,90,90.984,93.837,95,96.345,97.25,99.08,101.36,104.08,105.94,110,111.05,115.67,119.72,125.54,132.46,138.56,140,139.08,130.91,124.92,124.01,126.87,129.93,130,125.19,117.62,NaN
NaN,70,70,70,70,70,70,75.22,76.466,76.32,75.664,74.9,74.296,73.59,72.533,72.168,73.322,75,75,75,73.452,70.121,70.401,71.884,73.228,74.282,74.908,75,75,75,75,75,75,75,72.484,70,72.44,71.536,70,72.135,75.651,77.876,82.849,86.139,92.4,97.047,98.773,99.639,97.99,93.462,90,93.923,98.849,101.01,102.46,103.6,104.3,106.89,109.64,109.92,108.87,104.69,99.053,102.73,104.65,101.67,95,97.828,100.23,103.31,104.16,100.36,95,96.734,97.993,98.08,100,100,100,100.99,100,104.15,105.14,105,105.46,112.51,117.19,119.21,121.36,122.99,125.31,129.47,131.7,133.75,139.55,142.92,147.22,161.5,173.45,181.81,186.99,194.08,204.74,212.82,225.39,230,229.9,214.93,199.56,190.63,182.04,172.27,161.75,150.74,142.17,136.57,127.97,120,123.33,125,125,125,125.57,125.13,122.53,121.73,119.36,112.29,111.98,109.73,105.51,100,101.25,101.64,100,98.448,95.903,95,95,95,92.38,91.672,90.481,90,90,92.574,93.369,92.095,90,90,86.796,85.35,85,85,85,85.204,86.168,86.881,86.821,88.349,90.036,92.123,92.686,91.328,87.043,85,85,84.955,84.498,86.438,90,90,86.355,90,90.019,92.979,95,95,95.844,98.572,100,103.15,105.08,109.84,111.35,115.48,119.42,123.68,130.26,137.75,142.41,140.06,131.41,125.65,127.15,131.78,134.39,131.57,126.15,118.64,NaN
NaN,70,70,70,70,70,70,76.121,77.714,77.771,77.127,76.286,74.989,74.109,73.575,73.576,74.729,75,75,75,74.313,70.247,70.21,71.748,73.285,74.823,75,75,75,75,75,75,75,75,72.731,71.086,70,70.423,71.302,74.96,77.98,80.693,85.791,88.675,93.762,95.927,96.459,97.149,94.415,89.87,86.988,90.763,94.86,97.213,96.898,99.338,99.905,102.77,104.67,105.26,104.22,100.74,95.577,99.268,100.72,99.077,95,93.96,96.034,99.457,100.38,96.432,95.26,98.25,100.14,100.07,100,102.61,103.73,103.1,102.17,105,105,105,110.26,115.72,119.13,122.29,125.5,128.52,131.16,134.14,136.99,136.39,142.55,146.97,150.68,162.14,174.29,185.45,190.33,198.09,206.97,214.35,225.92,230,225.82,210.25,196.61,187.72,177.87,169.51,160.81,149.88,143.57,136.98,128.96,121.35,120,123.22,125,125,124.11,120.24,117.12,116.77,116,109.54,108.39,107.72,105.73,103.97,100.45,100,100,98.467,96.058,95,95,95,93.103,94.569,92.648,90.034,91.13,94.411,94.861,92.435,90.169,90,86.468,85,85,85,85,86.366,87.33,88.026,88.13,89.445,91.756,93.754,94.233,93.103,87.518,85,85,85,85.733,90,90,90.279,90,90,90,92.34,95,95,95.501,98.088,100,103.75,106.77,109.41,112.55,116.01,120.69,125,130.12,138.22,145,140.05,131.9,128.01,132.53,136.97,136.54,132.01,126.29,120,NaN
NaN,70,70,70,70,70,70,75.691,78.923,79.098,78.678,77.712,76.23,74.982,74.983,74.985,75,75,75,75,74.832,70,70,70.436,71.974,74.985,75,75,75,75,75,75,75,75,73.611,71.987,70.377,70,75.678,77.486,80.302,83.504,88.119,91.425,95,95,95,94.684,90.976,88.255,85,89.072,92.83,92.641,92.736,94.424,94.902,98.632,100.3,100.3,99.094,96.298,95,96.456,96.967,95.539,90.658,90.145,95,95,95,95,96.002,99.812,100.99,101.11,102.06,105.09,106.66,105.34,104.31,105,105,109.87,112.07,116.78,121.03,125,128.34,131.8,134.27,137.22,141.2,141.1,144.1,149.73,157.69,163.97,175.64,186.88,194.6,200.08,210.03,216.68,224.61,230,221.12,205.58,194.05,185.21,175.35,166.62,159.43,148.94,143.12,135.67,128.78,124.32,120.46,118.21,123.59,123.37,121.29,117.07,112.4,113.07,111.42,105.74,105.13,105.51,105.07,102.59,100,100,100,98.485,96.575,95,95,95,93.826,95,93.979,91.89,92.291,95,94.935,92.725,90.459,90,85.809,85,85,85,85.446,86.834,88.492,89.178,89.467,91.432,94.021,95.609,96.156,94.299,87.88,85,85,87.274,88.695,91.147,91.303,92.086,90,90.95,91.506,92.777,95,95,95.369,98.766,102.07,105.75,109.11,111.04,113.54,117.06,121.54,128.04,132.77,139.92,145,140.5,132.36,132.7,137.32,140.27,137.64,132.4,125.16,122.34,NaN
NaN,67.581,70,70,70,70,70.81,76.312,80,80.512,80.238,78.995,77.283,75.725,75,75,75,75,75,75,75,70,70,70,70.225,74.975,75,75,75,75,75,75,75,75,74.105,72.423,71.211,72.742,77.459,79.838,82.597,85.741,90.216,94.25,95,95,95,92.855,90,86.669,85,88.448,92.099,91.637,90,90,91.479,94.639,94.476,94.291,93.482,90,93.62,95,94.381,90.762,90,90.341,94.846,95,95,95,97.362,100.61,101.82,102.16,103.78,106.8,108.76,109.08,106.64,105,105,110,112.92,116.86,121.75,125,128.44,132.86,135.51,139.65,143.95,146.03,145.81,152.85,161.33,165.33,175.54,186.46,199.27,204.37,211.87,219.5,225.83,227.46,216.34,201.13,190.81,182.32,172.52,162.36,156.67,148.89,141.93,134.19,127.13,123.16,120.77,115.41,120.05,120.07,118.29,114.23,110,110.21,107.44,102.52,102.12,102.85,101.46,100.09,100,100,100,98.503,97.465,95,95,95,95,95,95,93.76,93.178,95,94.811,92.886,90.749,90,86.17,85,86.326,85,88.44,89.696,89.813,90.801,91.316,93.668,96.147,97.707,98.448,95.701,88.523,85,86.048,89.606,90.873,92.545,92.459,93.817,91.4,93.385,93.056,93.826,95,95,95.102,98.572,102.42,106.7,111.16,113.85,115.64,118.42,121.68,126.12,135,142.5,145,141.5,135,137.57,140.85,142.03,138.16,132.38,125.62,125,NaN
NaN,65.68,66.721,70,70,70,72.576,76.871,81.165,82.114,81.688,80.095,78.313,76.867,75.548,75.607,75,75,75,75,75,70,70,70,70,74.363,75,75,75,75,75,75,75,75,74.452,72.769,72.711,74.809,79.044,81.435,83.706,87.862,92.397,95,95,95,93.062,91.012,88.706,85.796,85,88.18,90.736,90,86.674,89.133,90,90.839,89.305,89.174,89.591,90,92.229,93.889,91.794,90,90,90,93.952,95,95,95,98.75,101.17,102.59,103.21,105.48,108.53,110.79,111.95,109.83,105,105,109.22,112.54,116.65,120.65,124.15,127.34,131.49,135.85,140.12,145.02,148.37,148.98,155.23,163.83,169.55,176.41,184.66,200.42,206.68,212.4,219.17,225.09,224.91,213.46,198.25,187.8,178.38,169.62,158.27,153.73,146.4,140,133.55,126.99,122.37,120,115.58,115.95,117.76,114.89,111.69,108.29,105.1,105,100,100,100,100,100,100,100,100,99.214,98.733,95,95,95,95,95,95,95,94.858,95,94.836,92.733,90.777,90,89.831,90,89.773,88.715,90.488,91.39,91.453,92.462,93.499,95.573,97.793,99.56,100,95.679,87.592,85,88.396,90,92.123,93.943,93.844,94.693,94.413,95,94.614,95.094,96.263,96.183,95,96.646,101.65,106.94,112.12,115.62,118.89,121.01,123.5,127.13,136.95,143.6,146.59,142.24,137.35,142.13,144.58,142.96,137.67,132.36,128.66,126.17,NaN
NaN,69.005,68.874,70,70,70.94,74.229,77.033,82.033,83.711,83.088,81.283,79.341,77.718,76.583,76.599,75.603,75,75,75,74.821,70,70,70,70,73.334,75,75,75,75,75,75,75,75,74.798,73.115,74.212,75.609,80.255,82.466,84.783,89.632,93.876,95,95,94.25,90.542,88.415,87.062,83.581,82.782,87.218,88.467,88.605,85,88.464,90,88.324,86.517,86.361,86.372,90,90.506,91.592,90,90,90,90,95,95,95,96.536,99.69,101.14,103.16,104.25,107.09,110.22,113.53,114.5,112.05,107.77,105,108.29,112.41,116.37,118.59,121.29,124.6,128.21,132.82,137.66,143.98,148.56,153.22,156.45,162.86,169.7,176.64,184.03,197.71,205.77,213.34,219.46,223.61,220.61,208.14,196.07,184.88,174.56,164.62,155.37,149.1,143.04,137.8,132.59,126.35,121.83,119.5,116.11,113.73,115.77,114.06,110.06,108.57,105,105,101.53,100,100,100,100,100,100,100,100,100,95.274,95,95,95,95,95.003,95.384,95.011,95,94.861,92.758,90.74,91.127,92.1,91.403,90,90,91.59,92.635,93.007,94.138,95.624,97.19,99.44,100,100,94.34,85,85,91.469,92.23,93.241,95,95.201,95,95,95,96.337,96.891,97.81,97.851,96.144,96.761,100.23,105.99,110.62,115.22,119.18,123.12,126.99,131.34,138.61,144.7,148.68,143.26,141.35,145.92,146.58,143.1,137.95,135.43,131.03,126.44,NaN
NaN,70,70,70,70,71.855,75,77.317,82.222,85,84.348,82.416,80.229,78.443,77.608,77.344,76.347,75.35,75,75,73.857,70,70,70,70,73.966,75,75,75,75,75,75,75,75,75,74.475,75,75.609,80.522,83.231,86.008,90.228,93.856,95,94.452,90.452,87.938,85.352,83.1,80,82.333,85.442,85.555,84.186,82.808,87.795,88.904,86.244,85,85,85,86.389,88.202,89.702,90,90,90,90.763,95,95,95.353,97.473,99.875,101.01,103.03,105.61,108.59,112.39,116.33,117.01,113.86,109.22,105.47,106.51,111.23,115,116.41,117.71,119.74,124.3,128.29,133.57,141.38,148.28,155.19,160,162.34,167.71,174.45,183.9,194.22,202.78,209.56,217.28,220.61,215.95,204.26,193.22,183.28,172.02,160.85,150.12,144.32,139.48,134.48,131,124.57,121.71,117.6,115.03,111.44,110,112.26,110,107.23,105,105,104.49,101.77,100,100,100,100,101.43,100.86,100,100,96.144,95,95,95.348,95.823,96.298,96.2,96.024,95.525,95.025,93.561,92.69,93.57,94.324,92.832,90,90.966,92.756,93.873,94.645,95.827,97.322,99.059,101.63,100.74,98.821,90.799,85,86.297,95,95,95,95.998,96.41,95.858,95,95.368,98.036,98.698,99.214,99.265,99.434,99.939,100,104.41,108.75,112.24,118.36,123.38,130.07,134.54,140.71,146.54,150,145.11,146.12,150.08,148.54,142.75,140.03,136.75,131.3,124.88,NaN
