NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,400.3636004028,400.272096058,402.2121517293,407.4069855105,413.8905843014,421.3563658266,427.4102046881,434.09989858,441.4599630105,448.0905541473,466.0020926256,488.460973481,506.5921532021,519.4523554595,526.1390994788,527.9753233233,525.0010505538,526.2286689426,531.4787084705,534.5049037165,538.585676224,538.0197134246,536.056804049,533.7965961361,525.0989322298,518.7758275916,514.1415895677,507.396732968,498.3615021569,486.6301734158,473.4805371347,460.3491310004,453.756284117,445.7133519081,434.7203561273,425.2231285987,420,420,420.2880714301,421.9294337609,423.5707960916,425.2121584223,429.619322771,438.7540765267,446.9306415649,457.0758982936,467.7513894194,478.4923741395,488.5842493826,494.9538830204,496.3761870931,497.7984911658,499.2207952385,502.602499726,492.3886970407,479.6904498399,472.2248411243,463.0849492542,454.341094991,447.4380367225,439.4613462304,432.7372105669,430,430,430.5861385008,438.8674555141,446.6699467698,448.8912641298,447.118216209,443.1267244103,434.5039164494,430,430,430,431.1381304629,433.8776221617,432.0844394043,430.379721061,430.4134425724,430,432.827399513,438.8415651665,444.7592607661,453.8292778113,464.4715991522,472.5227568272,473.0052238971,471.353606435,461.8409788855,464.8469667322,469.8340759295,471.6886955325,NaN
NaN,NaN,400.9273288433,400.4492975012,400,400.3953012832,400.9468409836,401.8368777685,402.9720758978,403.2357611969,403.7706436897,408.3975258501,414.8151180541,421.4737674155,427.2206970437,434.858092011,442.1772029317,448.0174897823,465.631111043,486.8900178009,504.3905904334,519.380587565,531.0346756165,533.9951631546,530.4341158193,533.4460627429,538.9912543438,541.8458146741,543.9276910437,544.5147562811,541.2405494577,532.7650134149,521.0066702723,508.1451844993,502.9215925988,502.093872402,494.5511601606,483.2465269072,465.6085102155,457.608829877,450.0940178578,438.1986660855,429.7932241687,424.2141123632,420,420,420,420,420,420,427.4913404642,439.0931143044,446.7969582833,458.7969848509,469.4373047497,478.19543798,490.0470798324,495.4044401153,500.1503976569,507.549675958,510,505.0625371996,494.6767348317,485.2934508817,477.4581730254,466.9590469544,456.1670624234,448.4798534779,438.3712213183,430.9656124795,430.7546903113,431.9000265943,434.3358176244,440.2454266309,448.8966443129,451.0819806313,450.0780248272,444.4584323041,437.3487683871,431.4300635384,430,430,434.1937841203,440,439.0781482611,436.563862067,434.5237307079,431.3089513754,434.066708694,439.2907931866,445.8581149275,455.9004672536,469.2295977688,477.0391409236,480.981647204,480.0501604168,471.3145905138,476.1509437417,480.453001778,480,NaN
NaN,NaN,405.448504983,405.4374506367,403.1897016561,402.9561330953,403.315071943,403.9511182003,405.3358786133,406.1994263353,406.8512727862,409.3880661895,416.1434286244,422.6067180236,428.7160333844,436.5526968598,443.5079270486,448.7893038352,465.6553041427,485.5575294529,503.9100523668,519.6074863218,536.8466842547,540.6774991677,540.1906179464,542.0469008928,547.0551205994,549.1711340189,549.5894986024,549.0784248553,541.6619952005,530.7079407922,519.2564861177,505.6567675621,494.501659056,493.5842598115,487.8046373044,472.4958646503,456.7610593146,446.84922102,439.4931313626,433.7447801927,427.8462769958,424.3229197856,423.1431057467,422.0601128445,420,420,420,420,423.6024876968,438.7834460562,446.6328591108,457.8306562644,469.1163968242,477.8303798936,485.6844593076,492.0276009629,497.7778694699,505.2152295682,507.4206935657,501.0284831505,494.672440429,486.1279086127,476.5897876276,464.6675457734,454.4105784651,444.9301168202,440,434.8319001961,434.304037902,436.0357601774,437.4583127074,442.3772752336,451.0741002956,455.6870822537,453.8504679791,448.3168775273,440.7214694361,433.9195900826,430,430,435.863118082,443.566248277,446.2239831474,444.7961246983,439.3729737337,437.2846825902,440,441.130855344,448.1571423009,457.4080246852,469.7502280374,478.5013089012,485.7406586482,487.6145057391,486.4796526935,485.799221849,486.0213628568,482.8282099799,NaN
NaN,408.0465020614,409.4352159472,409.6774735434,406.2569357069,405.5169649078,405.8565207844,406.2454644937,407.6546638702,408.8093639558,409.9319018832,412.2859223451,417.9983008512,424.7043048151,431.9173749001,439.0822820988,445.6460880661,453.0165284125,468.3825768213,488.1778301556,504.8221782001,522.5594639217,540.467603874,549.629096954,550.0118188587,551.7995968045,557.6466777218,560,550,545.4455878196,536.9970461869,523.8713481134,513.9718474301,503.489939419,491.1125663476,484.659060098,479.9598114814,466.2797092599,451.3126751563,437.5449698933,430.3948257724,430,430,427.8147621743,427.4803449034,424.9356494059,422.2646652578,420,420,420,425.4867004616,438.0191084397,447.5336521972,456.0587316065,463.8948841629,469.8164146882,476.3813559758,485.8181048749,495.266198027,502.0181414496,508.783273911,501.696194434,495.1752876388,483.5591139171,472.5274133672,460.8334421274,451.6467944527,441.9611824407,440,438.6412456732,438.340321284,440.356887312,442.3446528733,446.7644913043,454.1178788118,460,456.4878946119,451.2591394375,444.4793615382,435.7180585017,430,430,436.2949252553,444.4050392782,450,450,446.9640741596,440.7256044376,440,441.3295520746,449.7523434196,459.1216006001,468.6724573044,479.4546121718,490.0167747251,494.1744365546,493.6637171844,491.3462174937,487.8604772147,482.5065859483,NaN
NaN,413.4065864405,413.0660572185,411.1174042244,409.3241697577,408.0777967203,408.3979696257,408.6840091867,409.7294550087,412.0230291289,415.0867775456,415.8725401824,419.7864533298,426.9243138281,434.1741176992,441.9710119383,447.7061747107,459.4726822503,473.8319218923,490.5096438958,506.2324759098,524.2083966082,543.6922290834,554.7027382314,559.3417576121,564.9684542583,564.5256193335,559.7151635692,547.9318878696,539.5340006914,529.476357583,517.1988728505,507.4396089845,497.9686899322,487.2165057033,478.8851960277,467.0956239879,455.9582916614,443.956917117,437.1195400711,431.2056355931,430,431.4212454233,432.7437340731,430,427.3534500572,424.6548449173,423.0989421282,422.3124836266,423.2806056228,424.6689792099,435.9833134687,444.1294399009,450.3959019684,456.9346938772,459.9949084505,469.6672159277,480.1362405586,492.6168967859,498.4026806903,509.71826239,504.1929914586,497.3819651224,483.5937220806,471.0918123529,457.0215308213,449.0660318776,440.5766201995,440,440,443.9873533836,449.3955065585,453.2968771157,454.2937217766,462.6311147708,463.4258195113,459.0460844769,453.3574867665,447.60157523,440.7853476093,431.8328580819,430,435.7284552038,443.964694657,451.6748355805,455.2124588827,453.6691597007,447.0382754073,441.5791475707,443.0846812879,450.3230088591,459.0001952737,467.0582704726,480.7465562078,492.6450067687,498.5396293106,500,496.4276640788,488.2020115275,481.4318883916,NaN
NaN,419.6647903362,419.1588134839,416.0958675763,412.462791739,411.7467702828,412.4595683208,413.2084718897,414.9023878147,417.2672860976,419.9171405948,420.3863165513,422.2194892128,429.0670762512,437.7062217023,443.8930022885,449.3787093261,463.6222030483,478.9842546373,494.3463062263,508.6817978532,526.4325850001,545.0525858689,559.8543436801,567.4516047071,570,567.7874829527,556.2937392467,545.3365698954,533.0062087415,520.0834659858,509.6759439008,501.4444686029,492.7898157,482.3649695721,473.3134881359,460.4463551403,447.1197243073,440.8588161878,443.2731271289,441.6143574549,442.3039919139,441.5691529514,437.5682903266,430,429.6636950481,427.2167053583,427.0571832418,426.9431867341,428.3563085796,429.7694304251,431.7119766394,438.5939932223,444.1140737996,451.7646258512,453.1614569583,462.7599604652,477.3295738579,491.7107843946,497.1062125657,500.0663989657,503.763746025,498.010540259,485.0741533204,466.1787421841,455.3750336664,448.6437502393,442.6700415751,440,443.8575127913,450.7513949945,457.7905792892,463.7030292309,467.0655557769,469.392204091,466.344190077,460.2778941288,454.893868599,449.5178465022,441.6338229791,434.9508979084,434.6317705775,435.6389413603,443.4624849343,451.8434393745,460,460,457.0098815358,448.0434954377,449.3431514536,450,458.0455206236,466.1392179388,478.09215445,493.0940272841,500,500,496.3304655865,486.8301632368,475.2313310525,NaN
NaN,427.4264814648,425.1716507555,420.1645170209,418.4951398767,418.5057528155,419.1679965578,420.5575735219,423.1483861579,423.0857596176,425.8085058837,427.2395105266,427.8079452339,431.3961429507,440.1163775602,446.3200866352,453.5205483336,469.3354070342,485.5927476831,501.3381649247,513.7319712619,528.0932944598,546.8829299084,563.6715769608,570,570,567.7003232705,553.9294652755,541.1120701005,525.8949163998,513.0244478505,502.5227031498,495.1371314604,485.4621010432,475.6102039597,466.0433070854,456.6299128937,448.4539534551,445.2080574124,447.3290865262,447.2421074061,450,447.4054451167,438.7851085097,430.9787842151,431.3369035885,433.791687406,431.7564407118,430,430,430,430,431.3704582719,436.8638947832,441.4869570424,447.3102855398,459.1796979973,474.8198324671,487.4728500149,495.3237989266,506.9134368237,508.3137996635,497.8619680091,486.9664644706,471.1991923126,456.4305611455,448.9761730254,443.8320982128,440.4086245101,449.9031099291,461.2782664857,472.0058938121,473.4375326459,474.4889750418,471.1936031021,462.5094081976,457.4126623631,453.2063529508,446.1036457462,440,440,440,440,442.9398447404,451.1774748119,460.779745484,463.1155559857,462.9477731782,456.7716250937,450,450,456.8700265255,467.0203358315,480.5928524132,491.5697247313,498.6439613769,496.0925688035,491.4606025232,482.7889787657,470.6712092582,NaN
NaN,434.6467688255,429.5007192779,425.9740632861,425.487387893,427.8639900455,428.6084591671,429.2550682732,431.0910647538,428.6959765593,431.9732552057,437.4469726507,439.4895034499,438.5599194379,441.8399788375,447.9044244062,461.7140411799,477.8783244115,493.8104180476,506.7856852914,516.5755321112,531.7163552736,551.150148998,567.9022299828,570,570,563.1782551831,548.9009288745,538.1859853181,522.7797961997,510.9253369687,498.8619527497,488.0618274645,475.4399070568,470,464.348616563,460.7022907587,457.317360798,455.6627472049,454.6820366011,454.868600185,450.5239196862,447.8082945781,440.0525561618,436.4902413408,440,441.5728697763,437.7674361263,430.6644409345,430,430,430,430,435.2755840143,440,446.7844626909,457.6514880831,471.918433245,485.4666752748,494.8185104787,503.5254672823,505.5504242286,497.8527324524,486.6310954942,472.1349446125,456.7010184127,447.6202035283,441.6873877842,445.0102646144,456.4493922933,467.9508619896,478.5480980979,482.3588534826,479.3856045367,471.2621813115,459.4435015987,453.8623745319,447.7063024363,440,440,440,440,440,443.010242938,451.5158822618,460.7619471393,466.4396191154,466.7483584326,463.0608657911,455.476423487,451.2379229755,456.549401937,466.4185811166,476.8992962771,490.1476052959,498.0877444114,495.7275599938,487.6797780265,479.5634357124,473.3224378097,NaN
NaN,441.714874833,436.2676803382,432.2081290683,433.798179733,434.8203911543,435.6514795679,438.108393251,439.7836590926,437.8481848188,438.3352315856,446.3513718351,447.5567909761,446.3268626291,445.8281288109,449.3640223151,465.8978428278,483.6186565368,501.1799851206,510.908008267,520.6678015563,536.6344618111,555.849244842,570,570,570,556.9501118543,546.2486870882,535.4124983509,522.1817049099,508.1457442715,497.140004925,484.0830991997,483.4865405768,476.0888143613,471.3525267075,471.5824437149,472.0600600602,470.2570188255,468.1321268035,463.6895190764,458.581647648,448.6689386018,443.5451444383,440.9441475321,446.2234413596,446.5616885349,442.7088996571,434.695737934,430,430,430,432.9393757446,440.2403677694,444.8672316371,449.2120058041,459.033623994,472.1306778293,486.6727510712,495.6703069292,508.2879223217,503.493168753,496.4175423037,486.737789715,469.4047386593,456.1247015927,447.1598099594,447.5608085856,451.1756451102,460.2634757754,471.4666453969,484.2092103102,487.5846328426,484.0756174269,471.8747733015,462.7073774074,455.8031924431,448.7130629867,444.2698359835,440.3858449017,440,440,440,443.0806411356,452.0213048472,460.7441487946,466.4218207707,470.9990449923,468.899759976,464.0797307651,456.7095209881,458.1751584296,465.6808037516,476.6068446569,489.733859823,495.1478689339,498.8669457895,488.4137171152,486.5505091962,481.9530057978,NaN
